League,Bet?,Bet Type?,Side Data?,Bet Type Data?,Sharp,no_bets,Public,no_bets,Money,no_bets
CFB,away,ML,away,ML,,,,,,
CFB,away,ML,home,ML,,,,,,
CFB,away,spread,away,ML,,,,,,
CFB,away,spread,home,ML,,,,,,
CFB,home,ML,away,ML,,,,,,
CFB,home,ML,home,ML,,,,,,
CFB,home,spread,away,ML,,,,,,
CFB,home,spread,home,ML,,,,,,
CFB,underdog,ML,favorite,ML,,,,,,
CFB,underdog,ML,underdog,ML,,,,,,
CFB,underdog,spread,favorite,ML,,,,,,
CFB,underdog,spread,underdog,ML,,,,,,
CFB,favorite,ML,favorite,ML,,,,,,
CFB,favorite,ML,underdog,ML,,,,,,
CFB,favorite,spread,favorite,ML,,,,,,
CFB,favorite,spread,underdog,ML,,,,,,
CFB,away,ML,away,spread,,,,,,
CFB,away,ML,home,spread,,,,,,
CFB,away,spread,away,spread,,,,,,
CFB,away,spread,home,spread,,,,,,
CFB,home,ML,away,spread,,,,,,
CFB,home,ML,home,spread,,,,,,
CFB,home,spread,away,spread,,,,,,
CFB,home,spread,home,spread,,,,,,
CFB,underdog,ML,favorite,spread,,,,,,
CFB,underdog,ML,underdog,spread,,,,,,
CFB,underdog,spread,favorite,spread,,,,,,
CFB,underdog,spread,underdog,spread,,,,,,
CFB,favorite,ML,favorite,spread,,,,,,
CFB,favorite,ML,underdog,spread,,,,,,
CFB,favorite,spread,favorite,spread,,,,,,
CFB,favorite,spread,underdog,spread,,,,,,