FANGRAPHSTEAM,ROTOWIRETEAM,firstteam,lastteam,ESPNTEAM,ACTIONTEAM
Dbacks,ARI,arizona,diamondbacks,ARI,ARI
Braves,ATL,atlanta,braves,ATL,ATL
Orioles,BAL,baltimore,orioles,BAL,BAL
Red Sox,BOS,boston,red-sox,BOS,BOS
Cubs,CHC,chicago,cubs,CHC,CHC
White Sox,CWS,chicago,white-sox,CHW,CWS
Reds,CIN,cincinatti,reds,CIN,CIN
Indians,CLE,cleveland,indians,CLE,CLE
Rockies,COL,colorado,rockies,COL,COL
Tigers,DET,detroit,tigers,DET,DET
Astros,HOU,houston,astros,HOU,HOU
Royals,KC,kansas-city,royals,KC,KC
Angels,LAA,los-angeles,angels,LAA,LAA
Dodgers,LAD,los-angeles,dodgers,LAD,LAD
Marlins,MIA,miami,marlins,MIA,MIA
Brewers,MIL,milwaukee,brewers,MIL,MIL
Twins,MIN,minnesota,twins,MIN,MIN
Mets,NYM,new-york,mets,NYM,NYM
Yankees,NYY,new-york,yankees,NYY,NYY
Athletics,OAK,oakland,athletics,OAK,OAK
Phillies,PHI,philadelphia,phillies,PHI,PHI
Pirates,PIT,pittsburgh,pirates,PIT,PIT
Padres,SD,san-diego,padres,SD,SD
Mariners,SEA,seattle,mariners,SEA,SEA
Giants,SF,san-francisco,giants,SF,SF
Cardinals,STL,st-louis,cardinals,STL,STL
Rays,TB,tampa-bay,rays,TB,TB
Rangers,TEX,texas,rangers,TEX,TEX
Blue Jays,TOR,toronto,blue-jays,TOR,TOR
Nationals,WAS,washington,nationals,WSH,WSH